iter	Logloss
0	0.5951705634
1	0.5620492882
2	0.5490046421
3	0.5435420754
4	0.5397681296
5	0.5378389031
6	0.5364721719
7	0.5346220352
8	0.533728889
9	0.5332691037
10	0.5328681211
11	0.5324480465
12	0.531900547
13	0.5316948709
14	0.5312281904
15	0.5305643474
16	0.5301957454
17	0.5296702611
18	0.5292221194
19	0.5286710576
20	0.5282278599
21	0.5278587588
22	0.5274734017
23	0.5270096506
24	0.5268458176
25	0.5264520126
26	0.52642819
27	0.5260548815
28	0.5254803613
29	0.525215564
30	0.5250799862
31	0.5244724355
32	0.5241818226
33	0.5239130215
34	0.5232135415
35	0.5228225597
36	0.5224287519
37	0.5223073398
38	0.5215833712
39	0.5213136279
