iter	Passed	Remaining
0	33	33474
1	57	28922
2	81	27100
3	105	26200
4	125	25051
5	148	24666
6	172	24427
7	194	24075
8	216	23818
9	239	23740
10	262	23613
11	284	23443
12	306	23278
13	328	23146
14	349	22980
15	372	22909
16	394	22808
17	416	22727
18	439	22701
19	461	22624
20	483	22559
21	505	22476
22	530	22515
23	554	22535
24	577	22503
25	602	22565
26	628	22664
27	654	22731
28	676	22662
29	698	22575
30	720	22510
31	742	22473
32	764	22398
33	785	22328
34	808	22279
35	830	22233
36	852	22195
37	874	22135
38	896	22087
39	918	22049
40	941	22028
41	963	21977
42	986	21950
43	1006	21878
44	1028	21830
45	1050	21779
46	1071	21725
47	1092	21677
48	1114	21621
49	1136	21594
50	1161	21610
51	1183	21581
52	1205	21534
53	1226	21490
54	1248	21450
55	1270	21421
56	1291	21366
57	1313	21330
58	1334	21284
59	1356	21251
60	1378	21215
61	1399	21174
62	1421	21138
63	1442	21099
64	1464	21061
65	1485	21018
66	1507	20991
67	1528	20952
68	1549	20910
69	1571	20878
70	1595	20870
71	1621	20898
72	1641	20847
73	1663	20812
74	1686	20800
75	1708	20766
76	1730	20738
77	1752	20711
78	1775	20695
79	1796	20655
80	1816	20611
81	1838	20583
82	1860	20551
83	1881	20514
84	1901	20470
85	1921	20424
86	1942	20389
87	1965	20368
88	1986	20330
89	2006	20289
90	2028	20259
91	2048	20222
92	2070	20191
93	2090	20150
94	2112	20120
95	2133	20091
96	2154	20054
97	2175	20022
98	2196	19988
99	2218	19962
100	2238	19928
101	2259	19896
102	2281	19866
103	2302	19833
104	2323	19802
105	2343	19768
106	2361	19712
107	2382	19676
108	2402	19641
109	2424	19612
110	2444	19580
111	2466	19554
112	2487	19528
113	2508	19495
114	2528	19461
115	2549	19432
116	2571	19405
117	2591	19373
118	2617	19378
119	2640	19362
120	2661	19334
121	2682	19304
122	2702	19270
123	2722	19234
124	2743	19206
125	2764	19177
126	2785	19146
127	2806	19122
128	2827	19091
129	2848	19064
130	2870	19044
131	2891	19011
132	2912	18987
133	2934	18963
134	2954	18932
135	2975	18906
136	2997	18884
137	3018	18854
138	3038	18824
139	3059	18796
140	3080	18768
141	3101	18740
142	3122	18715
143	3143	18684
144	3164	18660
145	3185	18631
146	3206	18608
147	3227	18578
148	3248	18552
149	3271	18541
150	3295	18526
151	3319	18518
152	3342	18501
153	3364	18482
154	3387	18467
155	3409	18444
156	3431	18427
157	3453	18403
158	3474	18380
159	3501	18380
160	3527	18383
161	3552	18378
162	3576	18362
163	3596	18333
164	3624	18343
165	3648	18330
166	3671	18313
167	3692	18287
168	3712	18253
